,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donné,given
40,41,train,train
41,42,corps,body
42,43,endroit,place
43,44,yeux,eyes
44,45,façon,way
45,46,écoute,listen
46,47,dont,whose
47,48,trouve,find
48,50,perdu,lost
49,51,main,hand
50,52,première,first
51,53,côté,side
52,54,pouvoir,power
53,55,vieux,old
54,56,sois,be
55,57,tiens,here
56,58,matin,morning
57,59,tellement,so much
58,60,enfant,child
59,61,point,point
60,62,venu,came
61,63,suite,after
62,64,pardon,sorry
63,65,venez,come
64,66,devant,in front of
65,67,vers,towards
66,68,minutes,minutes
67,69,demandé,request
68,70,chambre,bedroom
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,mari,husband
75,77,cause,cause
76,78,enfin,finally
77,79,espère,hope
78,81,attendez,Wait
79,83,nouvelle,new
80,84,boulot,job
81,85,arrêter,Stop
82,86,dirait,would say
83,87,terre,Earth
84,88,compte,account
85,89,donne,given
86,90,loin,far
87,91,fin,end
88,92,croire,believe
89,94,gros,large
90,95,plutôt,rather
91,96,aura,will have
92,97,filles,girls
93,99,bureau,office
